sample_0,sample_1
0,-10000
0,-10000
0,-10000
0,-10000
0,-10000
0,-10000
0,-10000
0,-10000
0,-10000
0,-10000
0,-10000
0,-10000
0,-10000
0,-10000
0,-10000
0,-10000
0,-10000
0,-10000
0,-10000
0,-10000
0,-10000
0,-10000
0,-10000
0,-10000
0,-10000
0,-10000
0,-10000
0,-10000
0,-10000
0,-10000
0,-10000
0,-10000
0,-10000
0,-10000
0,-10000
0,-10000
0,-10000
0,-10000
0,-10000
0,-10000
0,-10000
0,-10000
0,-10000
0,-10000
0,-10000
0,-10000
0,-10000
0,-10000
0,-10000
0,-10000
0,-10000
0,-10000
0,-10000
0,-10000
0,-10000
0,-10000
0,-10000
0,-10000
0,-10000
0,-10000
0,-10000
0,-10000
0,-10000
0,-10000
0,-10000
0,-10000
0,-10000
0,-10000
0,-10000
0,-10000
0,-10000
0,-10000
0,-10000
0,-10000
0,-10000
0,-10000
0,-10000
0,-10000
0,-10000
0,-10000
0,-10000
0,-10000
0,-10000
0,-10000
0,-10000
0,-10000
0,-10000
0,-10000
0,-10000
0,-10000
0,-10000
0,-10000
0,-10000
0,-10000
0,-10000
0,-10000
0,-10000
0,-10000
0,-10000
0,-10000
0,-10000
10000,-10000
10000,-10000
10000,-10000
10000,-10000
10000,-10000
10000,-10000
10000,-10000
10000,-10000
10000,-10000
10000,-10000
10000,-10000
10000,-10000
10000,-10000
10000,-10000
10000,-10000
10000,-10000
10000,-10000
10000,-10000
10000,-10000
10000,-10000
10000,-10000
10000,-10000
10000,-10000
10000,-10000
10000,-10000
10000,-10000
10000,-10000
10000,-10000
10000,-10000
10000,-10000
10000,-10000
10000,-10000
10000,-10000
10000,-10000
10000,-10000
10000,-10000
10000,-10000
10000,-10000
10000,-10000
10000,-10000
10000,-10000
10000,-10000
10000,-10000
10000,-10000
10000,-10000
10000,-10000
10000,-10000
10000,-10000
10000,-10000
10000,-10000
10000,-10000
10000,-10000
10000,-10000
10000,-10000
10000,-10000
10000,-10000
10000,-10000
10000,-10000
10000,-10000
10000,-10000
10000,-10000
10000,-10000
10000,-10000
10000,-10000
10000,-10000
10000,-10000
10000,-10000
10000,-10000
10000,-10000
10000,-10000
10000,-10000
10000,-10000
10000,-10000
10000,-10000
10000,-10000
10000,-10000
10000,-10000
10000,-10000
10000,-10000
10000,-10000
10000,-10000
10000,-10000
10000,-10000
10000,-10000
10000,-10000
10000,-10000
10000,-10000
10000,-10000
10000,-10000
10000,-10000
10000,-10000
10000,-10000
10000,-10000
10000,-10000
10000,-10000
10000,-10000
10000,-10000
10000,-10000
10000,-10000
10000,-10000
10000,-10000
20000,-10000
20000,-10000
20000,-10000
20000,-10000
20000,-10000
20000,-10000
20000,-10000
20000,-10000
20000,-10000
20000,-10000
20000,-10000
20000,-10000
20000,-10000
20000,-10000
20000,-10000
20000,-10000
20000,-10000
20000,-10000
20000,-10000
20000,-10000
20000,-10000
20000,-10000
20000,-10000
20000,-10000
20000,-10000
20000,-10000
20000,-10000
20000,-10000
20000,-10000
20000,-10000
20000,-10000
20000,-10000
20000,-10000
20000,-10000
20000,-10000
20000,-10000
20000,-10000
20000,-10000
20000,-10000
20000,-10000
20000,-10000
20000,-10000
20000,-10000
20000,-10000
20000,-10000
20000,-10000
20000,-10000
20000,-10000
20000,-10000
20000,-10000
20000,-10000
20000,-10000
20000,-10000
20000,-10000
20000,-10000
20000,-10000
20000,-10000
20000,-10000
20000,-10000
20000,-10000
20000,-10000
20000,-10000
20000,-10000
20000,-10000
20000,-10000
20000,-10000
20000,-10000
20000,-10000
20000,-10000
20000,-10000
20000,-10000
20000,-10000
20000,-10000
20000,-10000
20000,-10000
20000,-10000
20000,-10000
20000,-10000
20000,-10000
20000,-10000
20000,-10000
20000,-10000
20000,-10000
20000,-10000
20000,-10000
20000,-10000
20000,-10000
20000,-10000
20000,-10000
20000,-10000
20000,-10000
20000,-10000
20000,-10000
20000,-10000
20000,-10000
20000,-10000
20000,-10000
20000,-10000
20000,-10000
20000,-10000
20000,-10000
30000,-10000
30000,-10000
30000,-10000
30000,-10000
30000,-10000
30000,-10000
30000,-10000
30000,-10000
30000,-10000
30000,-10000
30000,-10000
30000,-10000
30000,-10000
30000,-10000
30000,-10000
30000,-10000
30000,-10000
30000,-10000
30000,-10000
30000,-10000
30000,-10000
30000,-10000
30000,-10000
30000,-10000
30000,-10000
30000,-10000
30000,-10000
30000,-10000
30000,-10000
30000,-10000
30000,-10000
30000,-10000
30000,-10000
30000,-10000
30000,-10000
30000,-10000
30000,-10000
30000,-10000
30000,-10000
30000,-10000
30000,-10000
30000,-10000
30000,-10000
30000,-10000
30000,-10000
30000,-10000
30000,-10000
30000,-10000
30000,-10000
30000,-10000
30000,-10000
30000,-10000
30000,-10000
30000,-10000
30000,-10000
30000,-10000
30000,-10000
30000,-10000
30000,-10000
30000,-10000
30000,-10000
30000,-10000
30000,-10000
30000,-10000
30000,-10000
30000,-10000
30000,-10000
30000,-10000
30000,-10000
30000,-10000
30000,-10000
30000,-10000
30000,-10000
30000,-10000
30000,-10000
30000,-10000
30000,-10000
30000,-10000
30000,-10000
30000,-10000
30000,-10000
30000,-10000
30000,-10000
30000,-10000
30000,-10000
30000,-10000
30000,-10000
30000,-10000
30000,-10000
30000,-10000
30000,-10000
